,HOUR,ROUND,SPORT,NAME,BIRTH DATE,NAT.,PLACE,MARK
0,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Eseosa Fostine DESALU,19 FEB 1994,ITA,6.0,20.49
1,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Taymir BURNET,01 OCT 1992,NED,5.0,20.31
2,13:08:00,Qualification - Group 2,Women's High Jump,Heta TUURI,14 JAN 1995,FIN,18.0,1.8
3,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Vitoria Cristina ROSA,12 JAN 1996,BRA,8.0,23.86
4,13:27:00,Qualification - Group 1,Women's Shot Put,Jessica SCHILDER,19 MAR 1999,NED,1.0,19.64
5,12:12:00,Qualification - Group 2,Women's High Jump,Iryna GERASHCHENKO,10 MAR 1995,UKR,3.0,1.89
6,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Zharnel HUGHES,13 JUL 1995,GBR,1.0,19.99
7,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Tapiwanashe MAKARAWU,14 AUG 2000,ZIM,4.0,20.64
8,13:16:00,Qualification - Group 1,Women's High Jump,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1.0,1.92
9,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Jessika GBAI,29 DEC 1998,CIV,3.0,22.78
10,13:36:00,Qualification - Group 2,Men's Shot Put,Odysseas MOUZENIDIS,30 JUN 1999,GRE,14.0,19.08
11,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Aaron BROWN,27 MAY 1992,CAN,2.0,20.08
12,11:30:00,Round 1 - Heat 5,Women's 200 Metres,Gabrielle THOMAS,07 DEC 1996,USA,1.0,22.26
13,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Veronica Shanti PEREIRA,20 SEP 1996,SGP,2.0,22.57
14,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Lorène Dorcas BAZOLO,04 MAY 1983,POR,6.0,23.13
15,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Letsile TEBOGO,07 JUN 2003,BOT,1.0,20.22
16,11:21:00,Round 1 - Heat 4,Women's 200 Metres,Julia HENRIKSSON,11 JUL 2000,SWE,6.0,23.55
17,12:54:00,Qualification - Group 2,Men's High Jump,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1.0,2.28
18,12:15:00,Qualification - Group 2,Women's Shot Put,Maddison-Lee WESCHE,13 JUN 1999,NZL,6.0,18.59
19,13:33:00,Qualification - Group 2,Men's High Jump,Stefano SOTTILE,26 JAN 1998,ITA,14.0,2.22
20,14:09:00,Final,Men's Shot Put,Darlan ROMANI,09 APR 1991,BRA,8.0,21.41
21,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Denislav KIRILOV,19 MAY 1996,BUL,7.0,21.39
22,12:06:00,Qualification - Group 1,Men's Shot Put,Jacko GILL,20 DEC 1994,NZL,3.0,21.49
23,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Susanne GOGL-WALLI,05 MAY 1996,AUT,5.0,23.38
24,13:00:00,Qualification - Group 2,Men's Shot Put,Joe KOVACS,28 JUN 1989,USA,2.0,21.59
